编号,店名,address,维度,经度,分区,分类,电话,类别
73,BABYFACE(杭州市),迎宾路40号,30.05607184,119.9494395,杭州市;富阳区,休闲娱乐;酒吧, ,3997
109,半山村,新登镇半山村村民委员会,29.94799809,119.6814969,杭州市;富阳区,地名地址;行政地名, ,2368
559,渔佬大农家,云水北路与云水路交叉口东北150米,30.12503502,119.913474,杭州市;富阳区,美食;其它美食, ,3997
1063,龙门古镇-农家乐,龙门镇古街东路193号,29.90833405,119.9398355,杭州市;富阳区,美食;中餐厅, ,2124
1171,农家小吃,新中线与蔡伦西路交叉口东北100米,30.00721645,119.9475066,杭州市;富阳区,美食;小吃快餐, ,2124
1198,农家鲜烤鱼,金平路20号,30.05371943,119.9288246,杭州市;富阳区,美食;中餐厅,0571-63101389,3997
4150,绿源电动车(新登专卖店),登城北路29,29.97055323,119.7315172,杭州市;富阳区,购物;自行车专卖,0571-63219689,2368
4321,绿佳电动车,万市车站西南(胥高线),30.10152998,119.5664818,杭州市;富阳区,购物;自行车专卖, ,2368
4483,杭冠电动车,305省道附近,29.95734057,119.7391007,杭州市;富阳区,购物;其它购物, ,2368
4528,莫拉克电动车,高桥西路1号附近,30.09768942,119.9350555,杭州市;富阳区,购物;自行车专卖,15067176893,3997
4546,立马电动车(松溪专卖店),206省道与305省道交叉口西南100米,30.00113922,119.7477728,杭州市;富阳区,购物;自行车专卖,13968165048,2368
4555,保时马电动车,龙浦街33,30.05370115,119.9582438,杭州市;富阳区,购物;自行车专卖,0571-63310728,3997
4708,金箭电动车,文居街527,30.06086025,119.9281944,杭州市;富阳区,购物;自行车专卖,15258869223,3997
4771,金轮电动车(恩波大道),恩波大道470号附近,30.06096496,119.9479915,杭州市;富阳区,购物;自行车专卖, ,3997
4834,富士达电动车,富春白云宾馆(玉长城商业广场东南),30.06118273,119.9390939,杭州市;富阳区,购物;其它购物, ,3997
4843,爱玛电动车(桂花西路),富春街道桂花西路183-5号,30.05068691,119.9367975,杭州市;富阳区,购物;自行车专卖, ,3997
5095,鸿英电动车行,团圆楼宾馆(新登镇政府东南),29.96866352,119.7310273,杭州市;富阳区,购物;自行车专卖,0571-63282818,2368
