编号,店名,address,维度,经度,分区,分类,电话
487,北方手工水饺,火炬大道8号附近,30.16140089,120.1694113,杭州市;滨江区,美食;小吃快餐, 
1099,新成农家风味,浦沿银爵世纪公寓西南(浦沿路西),30.17117026,120.1414794,杭州市;滨江区,美食;中餐厅,13666676284
1234,白马湖农家渔馆,白马湖小区白鹤苑商铺1,30.16959296,120.2065823,杭州市;滨江区,美食;中餐厅, 
1468,姐妹农家饭庄(新生店),浦沿东信大道868号(积家西),30.17721606,120.1389922,杭州市;滨江区,美食;中餐厅,15990094834
1603,江南文化创意产业园爱儿教育中心,冠三路8号(杭州江南专修学院汽车学院附近),30.16814085,120.1588292,杭州市;滨江区,教育学校;培训, 
1612,三花?江虹国际创意园3A幢,江虹路江虹国际创意园,30.1926383,120.197027,杭州市;滨江区,建筑房产;产业园区, 
1621,摩都摄影,冠三路2号江南文化创意产业园创意楼5楼,30.16826103,120.1589295,杭州市;滨江区,生活服务;摄影冲印, 
1630,光线壹号淘宝摄影,南环路1672号杭州网投文化创意产业园,30.17928948,120.1974291,杭州市;滨江区,生活服务;摄影冲印, 
1639,蜜果蜜(发冠三路店),浦沿江南文化创意产业园(东冠路南),30.16847054,120.1586687,杭州市;滨江区,美食;冷饮店,18868787070
1648,红点摄影,南环路1672号网投文化创意产业园2号楼315室,30.17936042,120.1980407,杭州市;滨江区,生活服务;摄影冲印,0571-88215385
3817,捷安特(江陵店),江陵路1525-1527号,30.20647845,120.2123119,杭州市;滨江区,购物;自行车专卖,0571-86692116
3889,恒光杭冠电动车浦沿专卖,火炬大道12,30.17184732,120.1623694,杭州市;滨江区,购物;自行车专卖,0571-28182528
4114,绿源电动车(浦沿店),东冠公寓7幢,30.16821803,120.1573047,杭州市;滨江区,购物;自行车专卖,13588062637
4240,爱玛电动车,东冠公寓8幢,30.16840908,120.1578764,杭州市;滨江区,购物;自行车专卖, 
4348,滨胜电动车商城,西兴温兴风情苑西北(西兴路西),30.19419049,120.2241253,杭州市;滨江区,购物;自行车专卖, 
4447,杭州大白鲨电动车,浦沿东冠农贸市场(东冠路北),30.16950066,120.1587488,杭州市;滨江区,购物;其它购物, 
4618,上海永久电动车,新浦路,30.15699157,120.1479285,杭州市;滨江区,购物;自行车专卖, 
4636,上海永久自行车,兴才街与齐飞路交叉口东50米,30.19584673,120.1961144,杭州市;滨江区,购物;自行车专卖,18888961600
5023,新福电动车NO.068,浦沿镇东冠公寓6栋一单元101室,30.1687294,120.1580569,杭州市;滨江区,购物;自行车专卖, 
5104,金箭电动车滨江专卖,迎春小区(滨兴路北),30.19753156,120.2146876,杭州市;滨江区,购物;自行车专卖,15868883668
5392,伊莱特电动车(迎春路),共联路与江汉东路交叉口东50米,30.1995238,120.2169218,杭州市;滨江区,购物;其它购物, 
6031,浦沿小傅电动车配件批发维修,浦联社区对面东冠路807号,30.16051506,120.1441777,杭州市;滨江区,购物;自行车专卖, 
6157,东冠生育文化园,浦沿东冠生育文化园(东冠路北),30.17051756,120.1570939,杭州市;滨江区,休闲娱乐;旅游景点, 
6166,公共厕所,浦沿东冠生育文化园(东冠路北),30.17029728,120.1569334,杭州市;滨江区,基础设施;公共厕所, 
6859,岱石香海鲜砂锅粥(滨江店),江晖路1194,30.2017414,120.2064293,杭州市;滨江区,美食;中餐厅,18758263390
6877,小师傅黄焖鸡米饭,滨康小区商铺53号,30.18171901,120.2039952,杭州市;滨江区,美食;小吃快餐,15158177298
7948,三味厨屋沙县精品小吃,月明路1140,30.20307601,120.20255,杭州市;滨江区,美食;小吃快餐,15967979069
8425,杭邮机动车驾驶员培训有限公司-西南门,清江路附近,30.22734451,120.219264,杭州市;滨江区,基础设施;门/出入口, 
8560,贵州黄牛肉火锅馆,滨和路滨兴东苑27号(近政府),30.19810684,120.1962545,杭州市;滨江区,美食;中餐厅,15906853000
9190,阿牛哥柴火灶(谷丰大厦店),东冠路555号谷丰大厦底商浦沿中学对面,30.16593108,120.1534536,杭州市;滨江区,美食;中餐厅,13903202555
9217,杭州欢乐战场3D真人秀CS酷玩基地,江南大道1090号中南购物中心地下-1楼场馆,30.19656031,120.1862475,杭州市;滨江区,建筑房产;产业园区, 
10909,华味亨店,春晓路466号,30.20611619,120.2103878,杭州市;滨江区,美食;小吃快餐,13335819644
11530,江城渔夫烤鱼,浦沿联庄一区(南环路南),30.18415369,120.1438648,杭州市;滨江区,美食;特色中餐,13738063838
11674,饺子君(晶都店),网商路116,30.18184565,120.1889763,杭州市;滨江区,美食;小吃快餐,18958094568
11836,7得饺子馆,月明路,30.20312773,120.2037729,杭州市;滨江区,美食;小吃快餐,18248410098
12223,回味东北手工饺子(中南乐游星萃美食城),江南大道1090号中南乐游城购物中心B1层06,30.19667941,120.1857361,杭州市;滨江区,美食;小吃快餐,17165710772; 18610777443
12529,酷骑公司,华盛达广场七层703,30.19135541,120.1778137,杭州市;滨江区,公司企业;公司企业, 
12727,十三香龙虾店,浦沿路口滨文电影大世界和华润万家超市门口,30.17370102,120.1420006,杭州市;滨江区,美食;特色中餐, 
12790,fairy香酥小牛排饭(保亿店),南环路3760号保亿大厦4楼,30.18197589,120.1508848,杭州市;滨江区,美食;小吃快餐,13185005001
12799,洪李记酸菜鱼?火锅,南环路3760号保亿创艺大厦1楼、4楼01室、19楼至23楼,30.18188607,120.1509851,杭州市;滨江区,美食;中餐厅,15658105557
15130,奶茶博士(长江路店),长江中路23号,30.17412736,120.1898093,杭州市;滨江区,美食;冷饮店,0571-85104902
15931,苹果维修中心,江汉路1337号龙湖春江郦城8-104号,30.2021033,120.2006353,杭州市;滨江区,生活服务;家政,15858137999
15985,台湾黄七姑烧仙草(星耀城店),丹枫路676号香溢大厦16楼1601室,30.21413511,120.209856,杭州市;滨江区,美食;冷饮店,57128273803
17326,衢记鸭头(江汉路店),江汉路122,30.19920487,120.2090254,杭州市;滨江区,美食;小吃快餐,0571-81605517
17479,亚星全人教育(中赢国际商城店),滨河路998号中赢国际商务大厦2幢5楼(新东方楼上),30.2026804,120.2057075,杭州市;滨江区,教育学校;培训, 
18370,台湾手抓饼(美食广场店),浦沿街道垃圾街10号楼-20,30.17261299,120.1490403,杭州市;滨江区,美食;中餐厅,15158033790
21448,精武鸭脖,滨兴小区103-1号,30.19570506,120.1950516,杭州市;滨江区,美食;小吃快餐,15224015885
21565,绝味鸭脖(彩虹城店),滨盛路4289,30.18948756,120.1519974,杭州市;滨江区,美食;小吃快餐,13173680240
21619,绝味鸭脖(联庄一区店),浦沿碧水豪园(南环路东),30.1861413,120.1424708,杭州市;滨江区,美食;小吃快餐,13067708328
21628,绝味鸭脖蔻NO.22,东冠公寓2幢,30.1674442,120.1551986,杭州市;滨江区,美食;小吃快餐,15558035820
24184,小p老师-pstyle造型(杭州明星店),星飞路星光国际广场D区3层,30.21183695,120.2035416,杭州市;滨江区,生活服务;美容美发,0571-87331727
24211,杭州小奇兵卡通影视有限公司,东信大道296号逸天广场1号6F,30.17783872,120.1341696,杭州市;滨江区,公司企业;公司企业, 
24220,麦藤(星光大道店),江南大道228号星光国际广场二期B1,30.21307482,120.202088,杭州市;滨江区,美食;小吃快餐, 
24229,小杨生煎,滨盛路3867号宝龙城市广场(滨江店)F4,30.18964627,120.1621874,杭州市;滨江区,美食;小吃快餐, 
24346,戴维贝拉(星光店),江南大道228号星光国际广场2幢1层,30.21056842,120.2045542,杭州市;滨江区,购物;服饰鞋包,0571-87828306
24400,醉爱龙虾,宝龙城市广场一楼商场6号门出去对面,30.19153615,120.1621672,杭州市;滨江区,美食;火锅,17774017007
24508,小舅子果业,江南大道通策广场北门东200米(原宜清生鲜),30.18854198,120.1598606,杭州市;滨江区,购物;其它购物,18268885285
25138,长河街道新杭州人文化家园,滨文路附近,30.17613611,120.1891172,杭州市;滨江区,公司企业;其它机构团体, 
25579,杭州驻客公寓,秋溢路255号东冠科技园1幢203室,30.19240588,120.195473,杭州市;滨江区,酒店宾馆;经济型酒店,13336071953
25588,杭州瑞旭产品技术有限公司,秋溢路288号东冠高新科技园1号楼11层,30.19210712,120.196255,杭州市;滨江区,公司企业;公司企业, 
25606,杭州百趣科技公司,秋溢路606号西可科技园2号楼1楼,30.19138594,120.1893867,杭州市;滨江区,公司企业;公司企业, 
25615,登启科技公司,秋溢路399号金润科技园1号楼302,30.19114217,120.1931269,杭州市;滨江区,公司企业;公司企业, 
25624,杭州尚品皮革护理有限公司,秋溢路500号乐通科技园1号楼3楼307,30.19177018,120.1919336,杭州市;滨江区,公司企业;公司企业,13735516132
25633,零橙网络科技有限公司,秋溢路云狐科技园1号楼405,30.19045664,120.1897778,杭州市;滨江区,公司企业;公司企业, 
25642,超防网络科技有限公司,秋溢路288号东冠科技园1幢601号,30.19211685,120.1960846,杭州市;滨江区,公司企业;公司企业,0571-85285862
25651,杭州驻客网络技术有限公司,秋溢路288号东冠高新科技园1号楼203室,30.1921367,120.1959843,杭州市;滨江区,公司企业;公司企业,0571-28871088
25660,杭州锡视机器人科技有限公司,秋溢路288号东冠高新科技园一号楼409,30.19236692,120.1961347,杭州市;滨江区,公司企业;公司企业, 
25669,杭州茂网网络科技有限公司,秋溢路288号东冠高新科技园1幢306,30.19210701,120.1961848,杭州市;滨江区,公司企业;公司企业,0571-89807111; 4008823337
25687,赤道装饰(杭州)有限公司,长河街道秋溢路606号西可科技园1号楼101,30.19150671,120.1898479,杭州市;滨江区,公司企业;公司企业, 
25696,杭州希戈科技有限公司,秋溢路288号东冠高新科技园1号楼13层,30.19170638,120.1957738,杭州市;滨江区,公司企业;公司企业, 
25705,晟泉智能控制有限公司,秋溢路288号东冠高新科技园1号楼403号,30.19237676,120.1960344,杭州市;滨江区,公司企业;公司企业, 
25732,111艺术空间,秋溢路606号西可科技园1号楼111室,30.19151498,120.1888251,杭州市;滨江区,文化场馆;其它文化场馆,15868787876
25750,快乐家淘宝店,秋溢路428号乐苏科技园1号楼4楼里,30.19202291,120.1936081,杭州市;滨江区,购物;服饰鞋包, 
26191,东北大盘菜(滨江总店),联庄一区,30.18588002,120.1416787,杭州市;滨江区,美食;中餐厅,13588844582
26317,香港新曜记茶餐厅(星耀城店),江陵路2028号颐高乐宜城1楼,30.21511583,120.2104973,杭州市;滨江区,美食;小吃快餐,15858150237
26353,Mooboo Kids Circle魔堡亲子餐厅(滨江店),江陵路杭州滨江星耀城二期1号楼202-2,30.21444702,120.2114594,杭州市;滨江区,美食;中餐厅,0571-86633466; 13067713267
26389,海博大酒店,江南大道380号威陵大厦1～2楼,30.20671405,120.2013167,杭州市;滨江区,美食;中餐厅,0571-85357778; 0571-85357779
26398,知味观(浦沿店),西浦路1692号杭州六和邻里中心1楼,30.18017314,120.1302798,杭州市;滨江区,美食;中餐厅,0571-87230067
26425,江滨九号,江南大道518号兴耀大厦1层,30.20572116,120.1993218,杭州市;滨江区,美食;海鲜,0571-86673999
26452,重庆小面(星耀食代店),江陵路2028号星耀城1幢120,30.21572535,120.2101264,杭州市;滨江区,美食;小吃快餐,13575796381
26533,漫生活主题餐厅(星光广场店),江南大道228号星光国际广场1幢3层,30.21033793,120.2041933,杭州市;滨江区,美食;中餐厅,13750853215
26596,必胜客(浦沿物美店),浦沿路773号物美大卖场浦沿店1层,30.17457066,120.1418,杭州市;滨江区,美食;小吃快餐,0571-87072906
26713,豪乐餐厅,长江西苑41号楼一楼,30.18340042,120.1803718,杭州市;滨江区,美食;中餐厅,0571-86628777
28855,土家香酱饼(西湘路),西湘路362号附近,30.17106691,120.1781865,杭州市;滨江区,美食;其它美食, 
28891,正新鸡排,浦沿路773号物美大卖场浦沿店1层,30.17453025,120.1415493,杭州市;滨江区,美食;小吃快餐,15558072746
29053,正新鸡排(春江店),长河路1416,30.20560972,120.1861665,杭州市;滨江区,美食;小吃快餐,15958583896
29080,正新鸡排,长江中路34,30.17364724,120.1897291,杭州市;滨江区,美食;小吃快餐,18758573023
29089,正新鸡排(杨家墩店),浦沿街道杨家墩商业街大楼西13号,30.17236127,120.1480475,杭州市;滨江区,美食;小吃快餐,13003640156
29476,重庆酸辣粉(金沙港店),勤业路与明志路交叉口南50米,30.17462418,120.1607443,杭州市;滨江区,美食;小吃快餐,17858624020
29521,重庆小吃,浦沿街道东冠路555号谷丰大厦1楼137室,30.16557151,120.1536843,杭州市;滨江区,美食;小吃快餐,15868419216
29746,好面道重庆小面,长河街道滨盛路2238号一层,30.20538462,120.1890045,杭州市;滨江区,美食;小吃快餐,15224023888
29854,胖娃重庆小面(滨兴小区店),滨兴小区商铺072号,30.19455673,120.1960744,杭州市;滨江区,美食;小吃快餐, 
